author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/302398135/;Москва;sale;flat;5;17;3;105.0;130000000;2017;-1;-1;-1;-1;-1;-1;+79855162121;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296710178/;Москва;sale;flat;22;31;3;83.0;52000000;2022;-1;-1;-1;-1;-1;-1;+79154194704;Раменки; Лобачевского;120к1;Аминьевская;Крылья
ANT Development;developer;https://www.cian.ru/sale/flat/303519403/;Москва;sale;flat;3;10;3;105.8;115430498;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306888870/;Москва;sale;flat;25;35;3;137.6;70000000;2003;-1;-1;-1;-1;-1;20 м²;+79623676737;Щукино;Авиационная ;79К1;Щукинская;Алые Паруса
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308896854/;Москва;sale;flat;7;14;3;206.0;288277199;-1;-1;-1;-1;-1;-1;-1;+79653590192;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
Главстрой;developer;https://www.cian.ru/sale/flat/307941294/;Москва;sale;flat;4;20;3;103.7;40291971;2024;-1;Монолитно-кирпичный;-1;Без отделки;35,2 м²;25,5 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305275545/;Москва;sale;flat;11;20;3;117.1;46500000;-1;-1;-1;-1;-1;70 м²;20 м²;+79169862459;Свиблово;проезд Серебрякова;11к1;Ботанический сад;Silver
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307587007/;Москва;sale;flat;5;5;3;92.4;75000000;-1;-1;-1;-1;-1;69,4 м²;18 м²;+79164812988;Пресненский;Мерзляковский переулок;13;Арбатская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243037/;Москва;sale;flat;15;23;3;82.8;39578400;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;52,1 м²;10 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306947550/;Москва;sale;flat;3;6;3;72.0;30000000;1929;-1;-1;-1;-1;-1;14 м²;+79660641529;Тверской;Новослободская ;73К3;Савёловская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303766764/;Москва;sale;flat;2;4;3;137.9;275110500;2015;-1;-1;-1;-1;-1;15 м²;+79851239069;Хамовники;Пречистенская набережная;7;Парк Культуры;Кленовый DOM
MR Group;developer;https://www.cian.ru/sale/flat/300288094/;Москва;sale;flat;5;43;3;84.79;40300687;2025;-1;Монолитный;-1;Предчистовая, чистовая;35,7 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/291925257/;Москва;sale;flat;3;9;3;148.5;189000000;-1;-1;-1;-1;-1;118 м²;-1;+79853420387;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304304141/;Москва;sale;flat;7;18;3;89.7;98000000;2026;-1;-1;-1;-1;-1;10 м²;+79175343915;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080997/;Москва;sale;flat;2;6;3;118.66;195551680;2024;-1;Монолитно-кирпичный;-1;Без отделки;48 м²;32,6 м²;+74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330107/;Москва;sale;flat;11;14;3;242.97;328500000;-1;-1;-1;-1;-1;-1;30 м²;+79660625198;Хамовники; Усачева;11;Спортивная;Садовые кварталы
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/300298619/;Москва;sale;flat;8;12;3;136.5;102000000;2023;-1;-1;-1;Без отделки;-1;-1;+79161911830;Раменки; Сергея Бондарчука;4;Мичуринский проспект;Река
Среда;developer;https://www.cian.ru/sale/flat/304753723/;Москва;sale;flat;2;44;3;83.71;28859441;2027;-1;-1;-1;Предчистовая;38,4 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301496697/;Москва;sale;flat;3;5;3;82.9;42900000;-1;-1;-1;-1;-1;-1;-1;+79660471567;Тверской;1-й Самотечный переулок;17А;Достоевская;
MR Group;developer;https://www.cian.ru/sale/flat/306614056/;Москва;sale;flat;9;28;3;87.7;32115301;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;57,7 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308751301/;Москва;sale;flat;13;25;3;91.0;29990000;2022;-1;-1;-1;-1;60 м²;20 м²;+79652902316;Лосиноостровский;Тайнинская ;9;Медведково;Нормандия
Главстрой;developer;https://www.cian.ru/sale/flat/307942465/;Москва;sale;flat;5;35;3;95.73;40514371;2027;-1;Монолитный;-1;Без отделки;61,6 м²;9,1 м²;+74951387141;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/308753890/;Москва;sale;flat;6;16;3;73.4;19500000;1980;-1;-1;-1;-1;44,4 м²;10,3 м²;+79689316484;Теплый Стан; Академика Варги;36;Генерала Тюленева;
Tekta Group;developer;https://www.cian.ru/sale/flat/306178079/;Москва;sale;flat;14;34;3;59.3;28339470;2025;-1;Монолитный;-1;Без отделки, предчистовая;37,9 м²;-1;+74951387095;Обручевский;;;Калужская;Эвер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308074172/;Москва;sale;flat;8;11;3;134.5;90000000;-1;-1;-1;-1;-1;-1;-1;+79660512556;Якиманка; Серафимовича;2;Боровицкая;
MR Group;developer;https://www.cian.ru/sale/flat/308909146/;Москва;sale;flat;11;13;3;141.9;252851610;2025;-1;Монолитно-кирпичный;-1;Чистовая;92,2 м²;6,2 м²;+74951387239;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308038194/;Москва;sale;flat;8;12;3;65.7;26610000;1973;-1;-1;-1;-1;44 м²;7,3 м²;+79099114698;Раменки;Мичуринский проспект;54К2;Раменки;
Sminex;developer;https://www.cian.ru/sale/flat/293713709/;Москва;sale;flat;2;14;3;142.1;309370000;2024;-1;Монолитный;-1;Без отделки;46,6 м²;44,5 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/304590085/;Москва;sale;flat;4;11;3;80.0;41900000;-1;-1;-1;-1;-1;-1;35 м²;+79165727913;Свиблово;Лазоревый проезд;1;Ботанический сад;LIFE-Ботанический сад
TOUCH;developer;https://www.cian.ru/sale/flat/302838498/;Москва;sale;flat;6;13;3;75.37;41550880;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;11,9 м²;+74951387101;Южнопортовый;;к3;Дубровка;Шампайн ЖК
BERI;real_estate_agent;https://www.cian.ru/sale/flat/305314134/;Москва;sale;flat;10;16;3;65.7;24990000;1983;-1;-1;-1;-1;40,9 м²;8,4 м²;+79099114698;Таганский;Библиотечная ;13;Площадь Ильича;
Пионер;developer;https://www.cian.ru/sale/flat/301459890/;Москва;sale;flat;7;18;3;84.9;60621401;2028;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370987;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Москва;sale;flat;1;5;3;65.1;17500000;-1;-1;-1;-1;-1;36,6 м²;6,7 м²;+79637145462;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065721/;Москва;sale;flat;2;18;3;118.1;134761000;2026;-1;Монолитный;-1;Без отделки, предчистовая;39,5 м²;-1;+74951387189;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
ID 447844;homeowner;https://www.cian.ru/sale/flat/303627675/;Москва;sale;flat;7;23;3;95.2;37900000;2006;-1;-1;-1;-1;-1;15 м²;+79646331352;Сокол;Факультетский переулок;6;Стрешнево;
Ташир;developer;https://www.cian.ru/sale/flat/308803040/;Москва;sale;flat;25;32;3;83.7;;2021;-1;Монолитный;-1;Без отделки, предчистовая, чистовая, чистовая с мебелью;49,2 м²;15,1 м²;+74951346260;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/307581660/;Москва;sale;flat;5;19;3;106.5;75000000;-1;-1;-1;-1;-1;-1;5 м²;+79154666852;Раменки;Ломоносовский проспект;25к2;Университет;Dominion
